,Date,Open,High,Low,Close*,Adj Close**,Volume
71,"Jan 30, 2024",412.26,413.05,406.45,408.59,407.84,"33,477,600"
72,"Jan 29, 2024",406.06,409.98,404.33,409.72,408.96,"24,510,200"
73,"Jan 26, 2024",404.37,406.17,402.43,403.93,403.18,"17,803,300"
74,"Jan 25, 2024",404.32,407.01,402.53,404.87,404.12,"21,021,200"
75,"Jan 24, 2024",401.54,405.63,400.45,402.56,401.82,"24,867,000"
76,"Jan 23, 2024",395.75,399.38,393.93,398.90,398.16,"20,525,900"
77,"Jan 22, 2024",400.02,400.62,393.59,396.51,395.78,"27,016,900"
78,"Jan 19, 2024",395.76,398.67,393.50,398.67,397.93,"29,272,000"
79,"Jan 18, 2024",391.72,393.99,390.12,393.87,393.14,"23,392,100"
80,"Jan 17, 2024",387.98,390.11,384.81,389.47,388.75,"22,234,100"
81,"Jan 16, 2024",393.66,394.03,387.62,390.27,389.55,"27,202,300"
82,"Jan 12, 2024",385.49,388.68,384.65,388.47,387.75,"21,645,700"
83,"Jan 11, 2024",386.00,390.68,380.38,384.63,383.92,"27,850,800"
84,"Jan 10, 2024",376.37,384.17,376.32,382.77,382.06,"25,514,200"
85,"Jan 09, 2024",372.01,375.99,371.19,375.79,375.10,"20,830,000"
86,"Jan 08, 2024",369.30,375.20,369.01,374.69,374.00,"23,134,000"
87,"Jan 05, 2024",368.97,372.06,366.50,367.75,367.07,"20,987,000"
88,"Jan 04, 2024",370.67,373.10,367.17,367.94,367.26,"20,901,500"
89,"Jan 03, 2024",369.01,373.26,368.51,370.60,369.92,"23,083,500"
90,"Jan 02, 2024",373.86,375.90,366.77,370.87,370.19,"25,258,600"
91,"Dec 29, 2023",376.00,377.16,373.48,376.04,375.35,"18,723,000"
92,"Dec 28, 2023",375.37,376.46,374.16,375.28,374.59,"14,327,000"
93,"Dec 27, 2023",373.69,375.06,372.81,374.07,373.38,"14,905,400"
94,"Dec 26, 2023",375.00,376.94,373.50,374.66,373.97,"12,673,100"
95,"Dec 22, 2023",373.68,375.18,372.71,374.58,373.89,"17,091,100"
96,"Dec 21, 2023",372.56,374.41,370.04,373.54,372.85,"17,708,000"
97,"Dec 20, 2023",375.00,376.03,370.53,370.62,369.94,"26,316,700"
98,"Dec 19, 2023",371.49,373.26,369.84,373.26,372.57,"20,603,700"
99,"Dec 18, 2023",369.45,373.00,368.68,372.65,371.96,"21,802,900"
100,"Dec 15, 2023",366.85,372.40,366.28,370.73,370.05,"78,478,200"
101,"Dec 14, 2023",373.31,373.76,364.13,365.93,365.25,"43,277,500"
102,"Dec 13, 2023",376.02,377.64,370.77,374.37,373.68,"30,955,500"
103,"Dec 12, 2023",370.85,374.42,370.46,374.38,373.69,"24,838,300"
104,"Dec 11, 2023",368.48,371.60,366.10,371.30,370.61,"27,708,800"
105,"Dec 08, 2023",369.20,374.46,368.23,374.23,373.54,"20,144,800"
106,"Dec 07, 2023",368.23,371.45,366.32,370.95,370.27,"23,118,900"
107,"Dec 06, 2023",373.54,374.18,368.03,368.80,368.12,"21,182,100"
108,"Dec 05, 2023",366.45,373.08,365.62,372.52,371.83,"23,065,000"
109,"Dec 04, 2023",369.10,369.52,362.90,369.14,368.46,"32,063,300"
110,"Dec 01, 2023",376.76,378.16,371.31,374.51,373.82,"33,020,400"
111,"Nov 30, 2023",378.49,380.09,375.47,378.91,378.21,"30,554,400"
112,"Nov 29, 2023",383.76,384.30,377.44,378.85,378.15,"28,963,400"
113,"Nov 28, 2023",378.35,383.00,378.16,382.70,381.99,"20,453,100"
114,"Nov 27, 2023",376.78,380.64,376.20,378.61,377.91,"22,179,200"
115,"Nov 24, 2023",377.33,377.97,375.14,377.43,376.73,"10,176,600"
116,"Nov 22, 2023",378.00,379.79,374.97,377.85,377.15,"23,345,300"
117,"Nov 21, 2023",375.67,376.22,371.12,373.07,372.38,"28,423,100"
118,"Nov 20, 2023",371.22,378.87,371.00,377.44,376.74,"52,465,100"
119,"Nov 17, 2023",373.61,374.37,367.00,369.85,369.17,"40,157,000"
120,"Nov 16, 2023",370.96,376.35,370.18,376.17,375.48,"27,182,300"
121,"Nov 15, 2023",371.28,373.13,367.11,369.67,368.99,"26,860,100"
122,"Nov 15, 2023",0.75 Dividend,,,,,
123,"Nov 14, 2023",371.01,371.95,367.35,370.27,368.84,"27,683,900"
124,"Nov 13, 2023",368.22,368.47,365.90,366.68,365.26,"19,986,500"
125,"Nov 10, 2023",361.49,370.10,361.07,369.67,368.24,"28,042,100"
126,"Nov 09, 2023",362.30,364.79,360.36,360.69,359.29,"24,847,300"
127,"Nov 08, 2023",361.68,363.87,360.55,363.20,361.80,"26,767,800"
128,"Nov 07, 2023",359.40,362.46,357.63,360.53,359.14,"25,833,900"
129,"Nov 06, 2023",353.45,357.54,353.35,356.53,355.15,"23,828,300"
130,"Nov 03, 2023",349.63,354.39,347.33,352.80,351.44,"23,624,000"
131,"Nov 02, 2023",347.24,348.83,344.77,348.32,346.97,"24,348,100"
132,"Nov 01, 2023",339.79,347.42,339.65,346.07,344.73,"28,158,800"
133,"Oct 31, 2023",338.85,339.00,334.69,338.11,336.80,"20,265,300"
134,"Oct 30, 2023",333.41,339.45,331.83,337.31,336.01,"22,828,100"
135,"Oct 27, 2023",330.43,336.72,328.40,329.81,328.53,"29,856,500"
136,"Oct 26, 2023",340.54,341.63,326.94,327.89,326.62,"37,828,500"
137,"Oct 25, 2023",345.02,346.20,337.62,340.67,339.35,"55,053,800"
138,"Oct 24, 2023",331.30,331.84,327.60,330.53,329.25,"31,153,600"
139,"Oct 23, 2023",325.47,332.73,324.39,329.32,328.05,"24,374,700"
140,"Oct 20, 2023",331.72,331.92,325.45,326.67,325.41,"25,012,600"
141,"Oct 19, 2023",332.15,336.88,330.91,331.32,330.04,"25,052,100"
142,"Oct 18, 2023",332.49,335.59,328.30,330.11,328.83,"23,153,600"
143,"Oct 17, 2023",329.59,333.46,327.41,332.06,330.78,"18,338,500"
144,"Oct 16, 2023",331.05,336.14,330.60,332.64,331.35,"22,158,000"
145,"Oct 13, 2023",332.38,333.83,326.36,327.73,326.46,"21,072,400"
146,"Oct 12, 2023",330.57,333.63,328.72,331.16,329.88,"19,313,100"
147,"Oct 11, 2023",331.21,332.82,329.14,332.42,331.13,"20,063,200"
148,"Oct 10, 2023",330.96,331.10,327.67,328.39,327.12,"20,557,100"
149,"Oct 09, 2023",324.75,330.30,323.18,329.82,328.54,"19,891,200"
150,"Oct 06, 2023",316.55,329.19,316.30,327.26,325.99,"25,645,500"
